time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
10,0,973,0.6,7.7,77,,,,
20,1,126,0.45,7.8,156,56,0.001,-0.16691579752498203,0.030048292751113575
30,2,85,0.3,7.933333333333334,238,136,0.001,-0.24718027375638485,0.013562109670601785
40,4,75,0.45,7.75,310,207,0.001,-0.2947282535689218,0.0061870406248739785
50,5,69,0.44,7.72,386,283,0.001,-0.3835411327225821,0.011024252644607
60,7,64,0.4666666666666667,7.666666666666667,460,358,0.001,-0.39174024547849384,0.012339201356683458
70,8,63,0.4857142857142857,7.571428571428571,530,428,0.001,-0.4515486018998282,0.010039784546409334
80,9,61,0.4875,7.55,604,501,0.001,-0.4885560944676399,0.012520737363956869
90,11,61,0.3888888888888889,7.566666666666666,681,579,0.001,-0.5133269627888998,0.01823751897447639
100,12,61,0.34,7.5,750,649,0.001,-0.5364920099576315,0.03303156994904081
110,13,61,0.33,7.47,824,721,0.001,-0.5534760866846357,0.016119314091546193
120,14,60,0.33,7.5,906,803,0.001,-0.6008783727884293,0.022084225551225245
130,16,59,0.34,7.5,988,885,0.001,-0.6469420865178108,0.016604731557890773
140,17,59,0.31,7.56,1066,963,0.001,-0.6896640592151217,0.013584802651570903
150,19,59,0.32,7.6,1146,1046,0.001,-0.7096244607652936,0.011998024636081286
160,20,59,0.31,7.64,1224,1121,0.001,-0.728939916406359,0.015338131093553134
170,21,59,0.28,7.73,1303,1200,0.001,-0.7733850479125977,0.018862880455950897
180,23,59,0.25,7.78,1382,1280,0.001,-0.7856035629908243,0.015069368605812391
190,24,59,0.25,7.77,1458,1355,0.001,-0.7775440737605095,0.025737074203789234
